-60.0, -60.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 21,
-60.0, 10.0, 0.0, Left Cerebrum, Temporal Lobe, *, *, *,
-60.0, 10.0, 10.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, *, *,
-60.0, 10.0, 20.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 45,
-60.0, 10.0, 30.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 9,
-60.0, 20.0, -10.0, Left Cerebrum, *, *, *, *,
-60.0, 20.0, 0.0, Left Cerebrum, Frontal-Temporal Space, *, *, *,
-60.0, 20.0, 10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 45,
-60.0, 20.0, 20.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 45,
-60.0, 30.0, 0.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, *, *,
-50.0, -80.0, -30.0, Left Cerebellum, Posterior Lobe, Tuber, Gray Matter, *,
-50.0, -80.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-50.0, -80.0, 0.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, Gray Matter, Brodmann area 19,
-50.0, -80.0, 10.0, Left Cerebrum, Occipital Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 19,
-50.0, -70.0, -40.0, Left Cerebellum, Posterior Lobe, Inferior Semi-Lunar Lobule, Gray Matter, *,
-50.0, -70.0, -30.0, Left Cerebellum, Posterior Lobe, Tuber, Gray Matter, *,
-50.0, -70.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-50.0, -70.0, -10.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, White Matter, *,
-50.0, -70.0, 0.0, Left Cerebrum, Occipital Lobe, Inferior Temporal Gyrus, White Matter, *,
-50.0, -70.0, 10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 39,
-50.0, -70.0, 20.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 39,
-50.0, -70.0, 30.0, Left Cerebrum, Temporal Lobe, Angular Gyrus, Gray Matter, Brodmann area 39,
-50.0, -60.0, -40.0, Left Cerebellum, Posterior Lobe, Cerebellar Tonsil, Gray Matter, *,
-50.0, -60.0, -30.0, Left Cerebellum, Posterior Lobe, Tuber, Gray Matter, *,
-50.0, -60.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-50.0, -60.0, -10.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, White Matter, *,
-50.0, -60.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 37,
-50.0, -60.0, 10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-50.0, -60.0, 20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 39,
-50.0, -60.0, 30.0, Left Cerebrum, Parietal Lobe, Angular Gyrus, White Matter, *,
-50.0, -60.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, Gray Matter, Brodmann area 39,
-50.0, -50.0, -30.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-50.0, -50.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-50.0, -50.0, -10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-50.0, -50.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-50.0, -50.0, 10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-50.0, -50.0, 20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-50.0, -50.0, 30.0, Left Cerebrum, Parietal Lobe, Supramarginal Gyrus, White Matter, *,
-50.0, -50.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, White Matter, *,
-50.0, -50.0, 50.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, Gray Matter, Brodmann area 40,
-50.0, -40.0, -20.0, Left Cerebrum, Temporal Lobe, Fusiform Gyrus, Gray Matter, Brodmann area 20,
-50.0, -40.0, -10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-50.0, -40.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-50.0, -40.0, 10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-50.0, -40.0, 20.0, Left Cerebrum, Parietal Lobe, Superior Temporal Gyrus, *, *,
-50.0, -40.0, 30.0, Left Cerebrum, Parietal Lobe, Supramarginal Gyrus, White Matter, *,
-50.0, -40.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, White Matter, *,
-50.0, -40.0, 50.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, White Matter, *,
-50.0, -30.0, -20.0, Left Cerebrum, Temporal Lobe, Fusiform Gyrus, Gray Matter, Brodmann area 20,
-50.0, -30.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-50.0, -30.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 21,
-50.0, -30.0, 10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 41,
-50.0, -30.0, 20.0, Left Cerebrum, Sub-lobar, Insula, Gray Matter, Brodmann area 13,
-50.0, -30.0, 30.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, Gray Matter, Brodmann area 40,
-50.0, -30.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, Gray Matter, Brodmann area 40,
-50.0, -30.0, 50.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, Gray Matter, Brodmann area 40,
-50.0, -20.0, -30.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, Gray Matter, Brodmann area 20,
-50.0, -20.0, -20.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, White Matter, *,
-50.0, -20.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-50.0, -20.0, 0.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-50.0, -20.0, 10.0, Left Cerebrum, Temporal Lobe, Transverse Temporal Gyrus, White Matter, *,
-50.0, -20.0, 20.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-50.0, -20.0, 30.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-50.0, -20.0, 40.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-50.0, -20.0, 50.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-50.0, -10.0, -30.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, Gray Matter, Brodmann area 20,
-50.0, -10.0, -20.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, White Matter, *,
-50.0, -10.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-50.0, -10.0, 0.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, *,
-50.0, -10.0, 10.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, Gray Matter, Brodmann area 13,
-50.0, -10.0, 20.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-50.0, -10.0, 30.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-50.0, -10.0, 40.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-50.0, -10.0, 50.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, *, *,
-50.0, 0.0, -30.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 21,
-50.0, 0.0, -20.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-50.0, 0.0, -10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-50.0, 0.0, 0.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 22,
-50.0, 0.0, 10.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-50.0, 0.0, 20.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 44,
-50.0, 0.0, 30.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, Gray Matter, Brodmann area 6,
-50.0, 0.0, 40.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, *, *,
-50.0, 0.0, 50.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, Gray Matter, Brodmann area 6,
-50.0, 10.0, -30.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, *, *,
-50.0, 10.0, -20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 38,
-50.0, 10.0, -10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-50.0, 10.0, 0.0, Left Cerebrum, Frontal-Temporal Space, *, *, *,
-50.0, 10.0, 10.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-50.0, 10.0, 20.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-50.0, 10.0, 30.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 9,
-50.0, 10.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 8,
-50.0, 10.0, 50.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, *, *,
-50.0, 20.0, -20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 38,
-50.0, 20.0, -10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 47,
-50.0, 20.0, 0.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-50.0, 20.0, 10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 45,
-50.0, 20.0, 20.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-50.0, 20.0, 30.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-50.0, 20.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 8,
-50.0, 30.0, -10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-50.0, 30.0, 0.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-50.0, 30.0, 10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-50.0, 30.0, 20.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 46,
-50.0, 30.0, 30.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 9,
-50.0, 40.0, -10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-50.0, 40.0, 0.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-50.0, 40.0, 10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 46,
-50.0, 40.0, 20.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 46,
-50.0, 50.0, -10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 47,
-50.0, 50.0, 0.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, Gray Matter, Brodmann area 10,
-50.0, 50.0, 10.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 46,
-40.0, -80.0, -40.0, Left Cerebellum, Posterior Lobe, Inferior Semi-Lunar Lobule, Gray Matter, *,
-40.0, -80.0, -30.0, Left Cerebellum, Posterior Lobe, Tuber, Gray Matter, *,
-40.0, -80.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-40.0, -80.0, -10.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, Gray Matter, Brodmann area 18,
-40.0, -80.0, 0.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, White Matter, *,
-40.0, -80.0, 10.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, White Matter, *,
-40.0, -80.0, 20.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-40.0, -80.0, 30.0, Left Cerebrum, Occipital Lobe, Superior Occipital Gyrus, Gray Matter, Brodmann area 19,
-40.0, -70.0, -40.0, Left Cerebellum, Posterior Lobe, Inferior Semi-Lunar Lobule, Gray Matter, *,
-40.0, -70.0, -30.0, Left Cerebellum, Posterior Lobe, Tuber, Gray Matter, *,
-40.0, -70.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-40.0, -70.0, -10.0, Left Cerebrum, Occipital Lobe, Middle Occipital Gyrus, White Matter, *,
-40.0, -70.0, 0.0, Left Cerebrum, Occipital Lobe, Inferior Temporal Gyrus, White Matter, *,
-40.0, -70.0, 10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -70.0, 20.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-40.0, -70.0, 30.0, Left Cerebrum, Temporal Lobe, Angular Gyrus, White Matter, *,
-40.0, -70.0, 40.0, Left Cerebrum, Parietal Lobe, Precuneus, Gray Matter, Brodmann area 19,
-40.0, -60.0, -40.0, Left Cerebellum, Posterior Lobe, Cerebellar Tonsil, Gray Matter, *,
-40.0, -60.0, -30.0, Left Cerebellum, Posterior Lobe, Tuber, Gray Matter, *,
-40.0, -60.0, -20.0, Left Cerebellum, Posterior Lobe, Declive, Gray Matter, *,
-40.0, -60.0, -10.0, Left Cerebrum, Occipital Lobe, Sub-Gyral, White Matter, *,
-40.0, -60.0, 0.0, Left Cerebrum, Occipital Lobe, Sub-Gyral, White Matter, *,
-40.0, -60.0, 10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -60.0, 20.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 39,
-40.0, -60.0, 30.0, Left Cerebrum, Parietal Lobe, Angular Gyrus, White Matter, *,
-40.0, -60.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, White Matter, *,
-40.0, -60.0, 50.0, Left Cerebrum, Parietal Lobe, Superior Parietal Lobule, Gray Matter, Brodmann area 7,
-40.0, -50.0, -40.0, Left Cerebellum, Posterior Lobe, Cerebellar Tonsil, Gray Matter, *,
-40.0, -50.0, -30.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-40.0, -50.0, -20.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-40.0, -50.0, -10.0, Left Cerebrum, Occipital Lobe, Sub-Gyral, White Matter, *,
-40.0, -50.0, 0.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -50.0, 10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -50.0, 20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-40.0, -50.0, 30.0, Left Cerebrum, Parietal Lobe, Supramarginal Gyrus, White Matter, *,
-40.0, -50.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, White Matter, *,
-40.0, -50.0, 50.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, White Matter, *,
-40.0, -40.0, -30.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-40.0, -40.0, -20.0, Left Cerebellum, Anterior Lobe, Culmen, Gray Matter, *,
-40.0, -40.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -40.0, 0.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -40.0, 10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-40.0, -40.0, 20.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-40.0, -40.0, 30.0, Left Cerebrum, Parietal Lobe, Supramarginal Gyrus, White Matter, *,
-40.0, -40.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, Gray Matter, Brodmann area 40,
-40.0, -40.0, 50.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, Gray Matter, Brodmann area 40,
-40.0, -40.0, 60.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, Gray Matter, Brodmann area 5,
-40.0, -30.0, -20.0, Left Cerebrum, Limbic Lobe, Parahippocampal Gyrus, Gray Matter, Brodmann area 36,
-40.0, -30.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -30.0, 0.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -30.0, 10.0, Left Cerebrum, Temporal Lobe, Transverse Temporal Gyrus, White Matter, *,
-40.0, -30.0, 20.0, Left Cerebrum, Sub-lobar, Insula, Gray Matter, Brodmann area 13,
-40.0, -30.0, 30.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, Gray Matter, Brodmann area 40,
-40.0, -30.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, Gray Matter, Brodmann area 40,
-40.0, -30.0, 50.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-40.0, -30.0, 60.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-40.0, -20.0, -30.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, Gray Matter, Brodmann area 20,
-40.0, -20.0, -20.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -20.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -20.0, 0.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-40.0, -20.0, 10.0, Left Cerebrum, Sub-lobar, Insula, Gray Matter, Brodmann area 13,
-40.0, -20.0, 20.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-40.0, -20.0, 30.0, Left Cerebrum, Frontal Lobe, Postcentral Gyrus, White Matter, *,
-40.0, -20.0, 40.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, Gray Matter, Brodmann area 3,
-40.0, -20.0, 50.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, Gray Matter, Brodmann area 3,
-40.0, -20.0, 60.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, *, *,
-40.0, -10.0, -30.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, White Matter, *,
-40.0, -10.0, -20.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, -10.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, Gray Matter, Brodmann area 21,
-40.0, -10.0, 0.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-40.0, -10.0, 10.0, Left Cerebrum, Sub-lobar, Insula, Gray Matter, Brodmann area 13,
-40.0, -10.0, 20.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-40.0, -10.0, 30.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, Gray Matter, Brodmann area 6,
-40.0, -10.0, 40.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-40.0, -10.0, 50.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-40.0, -10.0, 60.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, Gray Matter, Brodmann area 6,
-40.0, 0.0, -30.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-40.0, 0.0, -20.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, 0.0, -10.0, Left Cerebrum, Temporal Lobe, Sub-Gyral, White Matter, *,
-40.0, 0.0, 0.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-40.0, 0.0, 10.0, Left Cerebrum, Sub-lobar, Insula, Gray Matter, Brodmann area 13,
-40.0, 0.0, 20.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-40.0, 0.0, 30.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-40.0, 0.0, 40.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, Gray Matter, Brodmann area 6,
-40.0, 0.0, 50.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, Gray Matter, Brodmann area 6,
-40.0, 10.0, -30.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 38,
-40.0, 10.0, -20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-40.0, 10.0, -10.0, Left Cerebrum, Sub-lobar, Extra-Nuclear, Gray Matter, Brodmann area 13,
-40.0, 10.0, 0.0, Left Cerebrum, Sub-lobar, Insula, White Matter, *,
-40.0, 10.0, 10.0, Left Cerebrum, Sub-lobar, Insula, Gray Matter, Brodmann area 13,
-40.0, 10.0, 20.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-40.0, 10.0, 30.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-40.0, 10.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-40.0, 10.0, 50.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-40.0, 20.0, -30.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 38,
-40.0, 20.0, -10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-40.0, 20.0, 0.0, Left Cerebrum, Sub-lobar, Insula, Gray Matter, *,
-40.0, 20.0, 10.0, Left Cerebrum, Frontal Lobe, Inferior Frontal Gyrus, White Matter, *,
-40.0, 20.0, 20.0, Left Cerebrum, Frontal Lobe, Sub-Gyral, White Matter, *,
-40.0, 20.0, 30.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
-40.0, 20.0, 40.0, Left Cerebrum, Frontal Lobe, Middle Frontal Gyrus, White Matter, *,
